,content,score,sentimen
273,plis bngt pihak tiktok kok akun lma ku g bsa msuk tulis nyfrekuensi terlalu sering kunjung padahal 5 download hpus g bsa data di hps ttap aj kok briq bet y,1,negatif
274,relepantidak didik kandung forno graf,1,negatif
275,aplikasi nya knpa luar negri bsa pakai pdhal sinyal internet bagusada tau ya,5,positif
276,mula blom bnyk tau aplikasi tpi sangat suka dengan aplikasi saya hibur diri sendiri moga aplikasi makin melejittt,5,positif
277,kembali musically versi belum karna kalau musically sama tiktok gabung memori bakal penuh sekali kami minta untuk kembali musically versi lama,1,negatif
278,level kecil bisa bikin live aplikasi nya di kembangin maka akan kurang satu satu bintang nya,5,positif
279,skarang tik tok sya guna pvn nonton live,1,negatif
280,sllu ngleg padahal koneksi internet bagus,5,positif
281,akun terus2 an tangguh padahal akun baru gabisa login login ingat akun blok lama padahal tidak ngapa2 in post vid gapernah kasih solusi,1,negatif
282,tolong mudah simpan video karna saya simpan video bagi dulu lalu instagram,3,positif
283,apk tiktok nya pervaikin lgi dong kerja luar negrijdi cuman hibur kya liat video d tiktok kalau tiktok nya masa bisa buka terus msa sya unistal terus sih di baik lgi dong apk nya adminterima kasih,5,positif
284,tiktok tuh sensitif bgtt masaa iya komen dkit langsung hapus otomatis komennya kn mmbela kbnran sdgkan video nya nganiaya lah ngehina agama lah gilir kya gitu ngga dibanned anehh bgtt di banned malah gasalah apaa anehh emg tiktok,1,negatif
285,aplikasi sangat bagus kurang aplikasi adalah even muncul halaman harap developer erti dan baik nya,5,positif
286,apk nya bagus bangettapi buka blokir nya saya sangat butuh akun yanh nama itsyourbeby sekali saya mohon maaf saya buat salah di tiktok,5,positif
287,permisi mau tanya dong knapa tik tok aku kalau pakai wifi malah lot wifi nya bagus kok,3,positif
288,aku sangat suka pakai aplikasi tiktok tapi ko aku buat video slow musik ngah complit dong,5,positif
289,knp musically sama tiktokayo lah please musically tetap musicallydan tiktok tetap tiktokgk ush d sama samainkumohon kembali musically versi dulu,1,negatif
290,salam bagus buat hibur alam hidup pas deh pokok trmksh tiktok sukses tambah maju kembang buat kontenbaru oke,5,positif
291,aplikasi bagus sekali banyak filter bagus hibur banyak orang banyak drama bisa nonton sumpah siapa download ga bakal nyesel,5,positif
292,aplikasi bagus banget aku suka sama aplikasi iniaku sini lihat video tik tok nya bts blackpinkkarena aku adalah orang army orang blinksjadi aku kasi 5 bintang deh,5,positif
293,aku sangat suka aplikasi tik tok suka eror ga di buka sama sekali,5,positif
294,aplikasi tiktok bikin ingin sekolah sd karna uang saku waktu aku sd sangat murah sekali aku senang sekali ingat waktu dulu pernah ngiseng nyng katok,5,positif
295,sangat bantu ketika suntuk,5,positif
296,sangat hibur muas,4,positif
297,aplikasi tiktok sangat bagus cuma kadang sedikit masalah kallo yang komentar terus balas suka ga muncul balesannya,5,positif
298,apa cuma tiktok ku tidak di upgrade sama ada krenjang kuning solusi dong software udah baru kok,1,negatif
299,banyak bantu shop online nya saya saudi belanja perlu saya ingin untuk harga ny murah terimakasih tiktok,5,positif
300,suka tiktok bisa ajar banyak kehidupanshalat baca ceramah sangat bagus,5,positif
301,aplikasi bagus kurang dikit sih saya baca aplikasi bukan usernya awokawok,4,positif
302,tik tok anj nickname nya ko ga larang buat orang2 anjin hina agama ko ga blokir blokir orang2 nickname nya hina agama tolon blokir,1,negatif
304,saya beri bintang 5 tiktok bisa hilang stress saat frustasi kerja maupin masalah,5,positif
305,mantul buat hibur mantep thebest pokok,5,positif
306,aplikasi bisa download padahal internet kuatpenyimpanan banyak download apk bisa untuk apk tiktok bisa,1,negatif
307,bagus banget sih buat karya banyak bet fitur nya yang paling gw suka di beranda video ooaim ketu ngakak bet sih keren dah,5,positif
308,sekarang app tiktok bisa tambah lagu file musik hp sendiri,2,negatif
309,bagus banyak minat mudah akses dulu aku mimpi sekarang jadi nyata guna tik tok salam bos tik tok terimakasih moga aku banyak kasih like following,5,positif
310,sangat bagus sangat menghiburtapi aplikasi tik tok saya pakai gak foto tolong dong bikin foto dong,5,positif
311,sedikit kecewa sama tiktok tiap nonton salalu muncul jaring sedia padahal jaring bagus kalau nontonnya lama mala minta kode tiktok hmmmm tolon baik,2,negatif
312,apa cuma gua ngerasa tiktok sekarang pas nonton video gebugmancet gtu tiktok yang nonton rasa ganggu,1,negatif
313,bagus sih donload nya kok lama ulang terus mohon pihak tik tok diperbaikiinstal ny lama jadi bisa tik tok kan deh,5,positif
314,tiktok sembarang blokir pesan makin ga jelas aplikasi,1,negatif
315,bisa buka,1,negatif
316,kamera tiktok nya jelek banget bagai guna user android sangat kecewa kamera beri tiktok,1,negatif
317,apk sangat bagus bisa jadi makin pandai buat fidio edit fidio,5,positif
318,efek slowmotion sekarang kurang bagusmasa musik nya ilang begitugak pas sama sekalikecewa gue,1,negatif
319,aku kecewa apk tik tokduku ngelagkok sekarang suka ngelag jadi masuk tik tok jadi susahtolong baik,4,positif
320,sangat buruk coba tonton video lama tidak dapat point hasil tonton sering ini,1,negatif
321,mantap njinxcewenya montok montok cocok buat bacolsaya saran tambah genre japaneseindonesiablondearabteenbeatiful boobsdan banyak termiakasih tik tok cewelnya good banget,5,positif
322,apl in sangat menhiburkan semua begitu nali judul judul kita cari cari,5,positif
323,apk nya bagus cuman lebih filter untuk masuk fyp nya sekarang jadi susah buat fyp,5,positif
324,tik tok sangat bagus buat hibur banyak di salah guna masalah negara saling bakar bendera kasih ingat jangan bawa bawa negara bendera negara buat video tik tok,5,positif
325,aplikasi hibur baik gabut aplikasi terupdate kalau ada info berita pokok aku sukaaa,5,positif
326,kendala aplikasi tiktok tidak semua lagu pakai ntah atur apa gmna,5,positif
327,sangat senang jumpa teman lama baru sini sedia dunia baru sangat bagus sangat suka aplikasi,5,positif
328,bisa lebih bagus watermark android samain sama iphone terus kalau guna bikin like ada yang komen percuma kan buat,3,positif
329,sekarang tiktok kok susah memposting yaasetiap aku mau post selalu gagal padahal instal ulangtapi tetap gitu sekarang tiktok makin aneh aja,3,positif
330,aplikasi asyik seru buat hibur mantul mantap betul,5,positif
331,aplikasi nama tiktok bisa buat aku jadi tertawa senang tertawa ketika aku sedih anda ayo download aplikasi nama tiktok play store pun app store 5 stars,5,positif
332,bnyk iklan ngelag ga suka font ny fyp nya ska muncul gjelas lebih suka pke tiktok lite,3,positif
333,tiktok tambah fitur 18 18 ketika uploadagar ada anak kecil lihat konten 18,1,negatif
334,tidak mendownlod apk hapus semua foto apk lain tetap tidak bisik saya kasih bintang 1 tolong baik,1,negatif
335,bagus banget simpan di galeri hasil nya terus di pasang ss wa pokok nya bagus deh,5,positif
336,aplikasi tik tok tiap unduh kok gak pasang harus ngunduh ulang ulang kali,1,negatif
337,mendownload aplikasi ulang kali kali kenapa bisa sudah tiga kali coba hasil sama mohon info,1,negatif
338,samgat hibur guna aplikasi tapi sayang tik tok belum aku hapus jadi sekarang download mudah2an aku guna account lama,5,positif
339,aplikasi sangaaat bagus juga sangat hibur kalau sedang tidak muut coco banget liat aplikasi pasti jamin ngakak,5,positif
340,kasih bintang 4 app benar bagus saya cuma kasih bintang 4 bukan bintang lima ga slowmo potong potong gitu deh,4,positif
341,ini slowmo nya tiktok benerin karna bagus bagus ehh buang sendiri habis mau uploud aku sudah tunnguin lama malah mohon maaf coba ulang itu terima kasih,2,negatif
342,kok gak unduh suara jadi gak lagu kalau mau main tiktok,2,negatif
343,suka banget sama aplikasi sangat hibur senang moga makin kembang untuk depan,5,positif
344,tiktok update makain ga nyaman sekarang ga skip cepat video tiktok resah,1,negatif
345,hahahah aplikasi buruk udah downlod nonton sudah dftar kan diri sajah enga bisa sagat sayang di perbaikiklo udah baik saya kasi 5bintang,1,negatif
346,aplikasi tiktok bgs sayang waktu live teman bisa lht orang live bisa komentar ja bisa lht,5,positif
347,asli nya sih baik baik tapi saya kirim pesan sedangakn lain bisa untuk tiktok minta di baik,1,negatif
348,tik tok emang kren kenapa aku bisa daftar kalau aku daftar tulis seperti tidak penuh syarat tik tok,3,positif
349,tambah wawas tahu kita sendiri tahu juga kenal berita negara luar di negara sendiri,5,positif
350,apk nya download kok bisa yh malah suruh download ulg sia ajh nih padahal tdi menginstal eh kok di layar utma hp gue adalngsng cek plystore yh ngulang deh gitu gan,1,negatif
351,jelek ko da banyak tiktok bingung milih ini aplikasi asli palsu bingung lagi deh donload s sekarang baru tau kan asli ribeeeeet,1,negatif
352,mantap apkisi nyaterimakasih smoga depan nya makin fitur filter baru the best,5,positif
353,aplikasi dulu nya bilang alay sekarang jadi aplikasi paling populer ini emang gak yang tahu masa depan,4,positif
354,sayan suka sekali sama tik tok karena bikin video bisa simpan bisa bagi teman teman seruh deh,5,positif
355,terima kasih tiktok apk bagus liat kayes joged cewek lai live streaming nya mantap mantap kurang pakek bh tiktok terima kasih,5,positif
356,aplikasi sangat manfaat moga makin sukses berkah selalu terimakasih tiktok,5,positif
357,akun kunci udah kirim data data aku pernah urus paling bls email suruh kirim data mulu padahal udah kecewaa bgt,1,negatif
358,wowapk sangat baguskepada pihak garena di tingkat lagiselebihnya bagus sih moontonmemang mantap lah tencent,1,negatif
359,tidak live 9 komal kok lain kenapa tidak ayo update 9 komal please,3,positif
360,dong jangan macet lagiga bikin vt ga edit profil kenapa sih,3,positif
361,aplikasi gak mutu main blok unistall males bikin account baru gue bikin cuma buat awas anak fix satu keluarga unistall gak butuh tiktok bilang kalian coin jng percaya diboongin coin gue ilang sendiri,1,negatif
362,video di refresh video gak terus ajah yang ada,1,negatif
363,gk bagus banget app masah sih akun blokir kan tidak ngapa apa laku kesel banget udah daftar kali kali tidak hasil nia mohon di baik app karna juga main tik tok orang juga,1,negatif
364,hai kenal nama hasna aulia aku suka bangt tik tok kalian langsung donwlod aplikasi tik tok gak nyesel deh kalian guna aplikasi tik tok senang senag terimakasih aplikasi tik tok,5,positif
365,aplikasi bagus banget buat orang banyak bisa tunjuk bakat masingmasing tik tok,5,positif
366,aplikasi sangat hibur tetap maju kan program baru tik tok,5,positif
367,aplikasi tiktok hapus terus coba mendownload enggak gimna cara yah,5,positif
368,hormat pihak musically kecewa ada baru inimungkin bukan saja kecewa ada baru inikami mohon maaf sekaliapakah musically dikembalikanmaaf bila salah kata,2,negatif
369,bagus ngedonload nya lama kalau nanti cuma sebentar aku kasih 5sama udah 24 minta kok 11padahal jaring bagus,1,negatif
370,bagus sihtapi hampir semua lagu indiadj nya cuma sedikit baik,4,positif
371,lebih pilih musically duluplis deh gosah campur2tik tok campur musically mau jadi apaplis kembali musical dulu bukan yang skrg,1,negatif
372,bagus sih aplikasinyatp terkadang kena blok padahal ga melanggartp yang liat cd nya sam tetek aman,5,positif
373,sumpah nyesel bngt upgratny kirain pas dupgrt tambah bangus ehhh malah ga jls mana ga pke lgu sndiri lagitruss fariasiny ga sbnyak ip dri awalny mc ehh malah jdi tik tok trpksa aj pke apk in krna hobi kalau tolonggg baik dulu,2,negatif
374,aplikasi cukup baguscman krna z bkn nilai aplikasi lain sebagainyajadi aplikasi q kasih bintang lima ajh gitu,5,positif
375,sangat bagus zangan rupa danlout nia wa buat apa papa sangat bagus jangan rupa wa kasi binta lima sungu ini sagat bagus masuk daftar dulu wa,5,positif
376,gak update aplikasigak unggah videokomplit pokok mah,5,positif
377,tidak merkam lagu ada tik tok tidak levsing lagu lagu cant levsing songs,1,negatif
378,tiktok makin bagus kalau banyakbanyak gratis ongkir,5,positif
379,makasih tik tok moga semua hibur salur bakat juga saling untung,5,positif
380,download nya 73mb pas udah pasang liat video tbtb 1gb lebih need banget buat hp kapasitas kecil,1,negatif
381,kasih fitur cadang tema fyp dong jdi kalau uninstall terus instal jadi sama fypnya belum install jdi ga perlu sesuai lgi,4,positif
382,sii suka sma apl cuma yaa krna gabung transisi seperti harga kalau sii saran logo tiktok dab musically tengah tengah sja jangan semua logo tiktok mksihh,4,positif
383,baru baru sih jelek dikit yasoalnya jaring baguskok jalan lambat banget,1,negatif
384,apk nya suka keluar sendiri pas upload suka gagal mohon baik,1,negatif
385,terimakasih tiktokkarena hibur aplikasi buat sakit mulai baik saya sudah mem,5,positif
386,aplikasi sangat bagus ngobrol sama temanteman curhatcurhat ketawa,5,positif
387,sya sangat hibur kerika tonton tiktok situ video sangat tarik,5,positif
388,update filter lebih bagus lagisesuaidengan musik tiktok,5,positif
389,kasih fitur live stremingnya beri pilih grafik fhd hd sd jadi ga burik burik hp panjang2 jaman sekarang ini live rata2 jual jadi nontonnya lihat barang jadi bagus,3,positif
390,tiktok keren banget ajar ketawa poko banyak da 1112 lah sama youtube,5,positif
391,gila parah banget tiktok sekarang upload video malam sampe pagi gak like views n coment sama sekali parah banget gak ngerti sama algoritma tiktok,1,negatif
392,mau akun yang udah lama kembali soal nya udah coba berapa kali kata sandi salah terus nomor telepon sama email tidak aktif moga kembali akun,5,positif
393,hallo sangat kecewa sama tiktok saya punya akun facebook tadi aku mau login gak muncul muncul baik,1,negatif
394,aplikasi sangat penting hibur tarik waktu sedih,5,positif
395,aplikasi sangat bagus hibur sayang hp sya kentang jdi memori cepat penuh,5,positif
396,banyak ilmu dapat untuk alam tiap waktu simpan aman,5,positif
397,filter yang bisa pakai walaupun di update ulang kali,4,positif
